CountryCode;CountryName;RegionName;SubregionName;LDC;LLDC;SIDS;Density(P/Km2);LandArea(Km2);GDP;Population;Urban_population;Fragility_State_Index_Clean;GHG_Emissions_2020;GHG_Emissions_1990;EPI.new;SUM(KBAArea);IKIPriorityCountry
IDN;Indonesia;Asia;South-eastern Asia;0;0;0;151;1904569;1119190000000;270203917;151509724;65.6;1475.83;1140.84;28.2;33387464;1
IND;India;Asia;Southern Asia;0;0;0;464;3287263;2611000000000;1366417754;471031528;74.1;3166.95;1020.11;18.9;22064862;1
IRN;Iran;Asia;Southern Asia;0;0;0;52;1648195;445345000000;82913906;62509623;85.4;844.71;300.45;34.5;10283923;0
IRQ;Iraq;Asia;Western Asia;0;0;0;93;438317;234094000000;39309783;27783368;91.4;261.79;103.58;27.8;3068401;0
JAM;Jamaica;Americas;Latin America and the Caribbean;0;0;1;273;10991;16458071068;2948279;1650594;61.9;7.58;9.35;45.6;574851;0
JOR;Jordan;Asia;Western Asia;0;0;0;115;89342;43743661972;10101694;9213048;75.7;33.15;18.61;43.6;876947;0
KAZ;Kazakhstan;Asia;Central Asia;0;1;0;7;2724900;180162000000;18513930;10652915;60.6;291.82;297.98;40.9;16174073;0
KEN;Kenya;Africa;Sub-Saharan Africa;0;0;0;94;580367;95503088538;52573973;14461523;87.8;72.62;30.82;30.8;7288311;0
KGZ;Kyrgyzstan;Asia;Central Asia;0;1;0;34;199951;8454619608;6456900;2362644;75.6;12.83;31.4;35.7;924937;0
KHM;Cambodia;Asia;South-eastern Asia;1;0;0;95;181035;27089389787;16486542;3924621;80.3;74.85;25.26;30.1;5602900;0
KIR;Kiribati;Oceania;Micronesia;1;0;1;147;811;194647202;117606;64489;;0.09;0.04;49;109198417;0
LAO;Lao People's Democratic Republic;Asia;South-eastern Asia;1;1;0;32;2368;18173839128;7169455;2555552;;43.36;19.64;30.7;5325387;0
LBN;Lebanon;Asia;Western Asia;0;0;0;667;104;53367042272;6855713;6084994;91.8;28.87;7.29;32.2;341801;0
LBR;Liberia;Africa;Sub-Saharan Africa;1;0;0;53;111369;3070518100;4937374;2548426;88.9;15.62;14.36;24.9;2791406;0
LBY;Libya;Africa;Northern Africa;0;0;0;4;1759540;52076250948;6777452;5448597;96.1;75.37;80.13;;4220849;0
LCA;Saint Lucia;Americas;Latin America and the Caribbean;0;0;1;301;616;2122450630;18279;3428;;0.7;0.77;49.4;24035;0
LKA;Sri Lanka;Asia;Southern Asia;0;0;0;341;6561;84008783756;21803000;4052088;90.3;36.9;28.2;34.7;663873;0
LSO;Lesotho;Africa;Sub-Saharan Africa;1;1;0;71;30355;2460072444;2125268;607508;76.3;4.01;2.99;32.3;256471;0
MAR;Morocco;Africa;Northern Africa;0;0;0;83;44655;118725000000;36910560;22975026;68.2;86.1;31.9;28.4;8364983;0
MDA;Moldova;Europe;Eastern Europe;0;1;0;123;33851;11955435457;2657637;1135502;67.4;13.17;37.91;42.7;133219;0
MDG;Madagascar;Africa;Sub-Saharan Africa;1;0;0;48;587041;14083906357;26969307;10210849;81.7;40.21;53.49;28;12712454;0
MDV;Maldives;Asia;Southern Asia;0;0;1;1802;298;5729248472;530953;213645;62.9;1.99;0.2;37.4;923;0
MEX;Mexico;Americas;Latin America and the Caribbean;0;0;0;66;1964375;1258290000000;126014024;102626859;69.8;609.07;434.41;45.5;40790152;1
MHL;Marshall Islands;Oceania;Micronesia;0;0;1;329;181;221278000;58791;45514;;0.16;0.03;36.2;10740521;0
MKD;North Macedonia;Europe;Southern Europe;0;1;0;83;25713;10220781069;1836713;;;9.77;13.9;54.3;851787;0
MLI;Mali;Africa;Sub-Saharan Africa;1;1;0;17;1240192;17510141171;19658031;8479688;99.5;43.49;17.48;28.5;2447050;0
MMR;Myanmar;Asia;South-eastern Asia;1;0;0;83;676578;76085852617;54045420;16674093;100.2;246.64;205.44;19.4;16405100;0
MNE;Montenegro;Europe;Southern Europe;0;0;0;47;13812;5494736901;622137;417765;58;3.79;4.15;46.9;179875;0
MNG;Mongolia;Asia;Eastern Asia;0;1;0;2;1564116;13852850259;3225167;2210626;51.3;76.38;54.27;29.6;8260734;0
MOZ;Mozambique;Africa;Sub-Saharan Africa;1;0;0;40;79938;14934159926;30366036;11092106;94;103.81;84.41;31.7;14117160;0
MRT;Mauritania;Africa;Sub-Saharan Africa;1;0;0;5;1030700;7593752450;4525696;2466821;87;12.97;6.98;28.1;2310337;0
MSR;Montserrat;Americas;Latin America and the Caribbean;0;0;1;;;;;;;;;;1652;0
MUS;Mauritius;Africa;Sub-Saharan Africa;0;0;1;626;204;14180444557;1265711;51598;38;6.41;2.28;44.8;117198;0
MWI;Malawi;Africa;Sub-Saharan Africa;1;1;0;203;118484;7666704427;18628747;3199301;83.2;20.31;11.58;40.6;1792013;0
MYS;Malaysia;Asia;South-eastern Asia;0;0;0;99;329847;364702000000;32447385;24475766;55;367.76;188.15;35;5982276;0
NAM;Namibia;Africa;Sub-Saharan Africa;0;0;0;3;824292;12366527719;2494530;1273258;60.3;24.12;;50.9;10540035;0
NER;Niger;Africa;Sub-Saharan Africa;1;1;0;19;1267000;12928145120;23310715;3850231;93.4;46.04;18.64;37.7;10784678;0
NGA;Nigeria;Africa;Sub-Saharan Africa;0;0;0;226;923768;448120000000;200963599;102806948;98;369.38;282.12;28.3;3618679;0
NIC;Nicaragua;Americas;Latin America and the Caribbean;0;0;0;55;13037;12520915291;6545502;3846137;77.7;38.15;29.13;37.7;2986039;0
NIU;Niue;Oceania;Polynesia;0;0;1;;;;;;;0;0.01;;4133;0
NPL;Nepal;Asia;Southern Asia;1;1;0;203;147181;30641380604;28608710;5765513;80.2;48.48;19.88;28.3;3329247;0
NRU;Nauru;Oceania;Micronesia;0;0;1;541;21;133000000;10084;;;0.05;0.13;;75;0
PAK;Pakistan;Asia;Southern Asia;0;0;0;287;796095;304400000000;216565318;79927762;89.9;443.6;168.54;24.6;4629288;0
PAN;Panama;Americas;Latin America and the Caribbean;0;0;0;58;7542;66800800000;4246439;2890084;48.7;21.46;13.61;50.5;2503169;0
PER;Peru;Americas;Latin America and the Caribbean;0;0;0;26;1285216;226848000000;32510453;25390339;73.1;179.78;104.25;39.8;23598167;1
PHL;Philippines;Asia;South-eastern Asia;0;0;0;368;300;376796000000;108116615;50975903;77.8;227.52;97.83;28.9;10975169;1
PLW;Palau;Oceania;Micronesia;0;0;1;39;459;283994900;18233;14491;;0.2;0.01;;1343388;0
PNG;Papua New Guinea;Oceania;Melanesia;0;0;1;20;46284;24969611435;8776109;1162834;78.1;51.65;28.85;24.8;32875761;0
PRK;Democratic People's Republic of Korea;Asia;Eastern Asia;0;0;0;214;120538;32100000000;25666161;15947412;87;79.44;161.3;;319988;0
PRY;Paraguay;Americas;Latin America and the Caribbean;0;1;0;18;406752;38145288940;7044636;4359150;63.7;97.29;75.28;40.9;3490454;0
PSE;State of Palestine;Asia;Western Asia;0;0;0;847;;;;;87.9;;;;191774;0
RWA;Rwanda;Africa;Sub-Saharan Africa;1;1;0;525;26338;10122472590;12626950;2186104;82.3;7.59;5.22;32.8;396699;0
SDN;Sudan;Africa;Northern Africa;1;0;0;25;1861484;18902284476;42813238;14957233;106.2;128.14;70.23;27.6;4965902;0
SEN;Senegal;Africa;Sub-Saharan Africa;1;0;0;87;196722;23578084052;16296364;7765706;71.5;34.71;17.78;33.9;4012450;0
SHN;Saint Helena;Africa;Sub-Saharan Africa;0;0;0;;;;;;;;;;23529;0
SLB;Solomon Islands;Oceania;Melanesia;1;0;1;25;28896;1425074226;669823;162164;79.6;46.25;4.3;35;1960687;0
SLE;Sierra Leone;Africa;Sub-Saharan Africa;1;0;0;111;7174;3941474311;7813215;3319366;81.4;9.31;6.51;32.7;498268;0
SLV;El Salvador;Americas;Latin America and the Caribbean;0;0;0;313;21041;27022640000;6453553;4694702;69.3;12.15;7.94;40.8;320264;0
SOM;Somalia;Africa;Sub-Saharan Africa;1;0;0;25;637657;4720727278;15442905;7034861;111.9;43.62;41.89;;4714096;0
SRB;Serbia;Europe;Southern Europe;0;0;0;100;77474;51409167351;6944975;3907243;67.9;62.81;79.56;43.9;1293249;0
SSD;South Sudan;Africa;Sub-Saharan Africa;1;1;0;18;644329;11997800751;11062113;2201250;108.5;70.61;38.87;;9557150;0
STP;Sao Tome and Principe;Africa;Sub-Saharan Africa;1;0;1;;;;;;69.7;0.4;0.07;52.9;51269;0
SUR;Suriname;Americas;Latin America and the Caribbean;0;0;1;4;16382;3985250737;581372;384258;59.7;13.54;5.9;45.9;5095863;0
SWZ;Eswatini;Africa;Sub-Saharan Africa;0;1;0;67;17364;3791304348;1093238;;79.1;2.88;2.74;44.9;327238;0
SYR;Syrian Arab Republic;Asia;Western Asia;0;0;0;95;18518;40405006007;17070135;9358019;107.1;47.12;70.48;;2295362;0
TCD;Chad;Africa;Sub-Saharan Africa;1;1;0;13;1284000;11314951343;15946876;3712273;104.6;114;24.28;28.1;12534995;0
TGO;Togo;Africa;Sub-Saharan Africa;1;0;0;152;56785;5459979417;8082366;3414638;82.1;9.24;6.26;34;475863;0
THA;Thailand;Asia;South-eastern Asia;0;0;0;137;51312;543650000000;69625582;35294600;68;451.42;172.3;38.1;8403065;1
TJK;Tajikistan;Asia;Central Asia;0;1;0;68;1441;8116626794;9321018;2545477;74.2;17.56;17.85;37.1;1278484;0
TKL;Tokelau;Oceania;Polynesia;0;0;0;;;;;;;;;;3779418;0
TKM;Turkmenistan;Asia;Central Asia;0;1;0;13;4881;40761142857;5942089;3092738;64.5;194.09;153.46;37;3455227;0
TLS;Timor-Leste;Asia;South-eastern Asia;1;0;1;;;;;;77.5;6.01;0.92;35.1;533594;0
TON;Tonga;Oceania;Polynesia;0;0;1;147;747;450353314;100209;24145;;0.27;0.25;43.8;1732570;0
TUN;Tunisia;Africa;Northern Africa;0;0;0;76;16361;38797709924;11694719;8099061;66.4;37.1;20.78;40.7;1395331;0
TUR;Turkiye;Asia;Western Asia;0;0;0;110;783562;754412000000;83429615;63097818;81.2;476.34;188.51;26.3;17247145;1
TUV;Tuvalu;Oceania;Polynesia;1;0;1;393;26;47271463;11646;7362;;0.02;0.02;;;0
TZA;Tanzania;Africa;Sub-Saharan Africa;1;0;0;67;9473;63177068175;58005463;20011885;76.6;158.82;97.91;34.2;18340102;0
UGA;Uganda;Africa;Sub-Saharan Africa;1;1;0;229;241038;34387229486;44269594;10784516;91.5;53.61;27.67;35.8;2334194;0
